female,race3,ageyr,educ,hhinc,voteplan,votechoice,FT_obama,FT_mccain,FT_biden,FT_palin,FT_Dparty,FT_Rparty,economy,environ,iraqwar,hopeBP,readyBP
0,2,35,4,24,2,2,25,60,15,90,40,60,2,2,1,1,1
1,0,58,3,13,2,NA,0,70,50,70,70,15,1,1,2,NA,0
1,0,39,6,21,2,2,30,60,50,70,30,60,3,1,2,NA,1
0,0,50,3,21,2,0,55,70,NA,75,85,70,3,3,4,0,0
0,0,72,6,19,2,2,30,70,50,85,30,70,1,3,1,NA,1
1,0,71,4,18,2,NA,0,85,50,60,15,100,1,4,4,0,0
1,0,66,6,15,2,2,15,70,50,70,50,50,2,2,1,0,1
0,0,56,5,20,2,2,30,70,15,100,30,70,2,2,2,NA,NA
1,0,40,4,19,2,2,40,85,NA,60,15,85,2,2,1,1,1
0,1,55,5,19,1,1,100,50,60,15,40,0,4,3,4,1,0
1,0,84,4,18,2,2,30,85,15,100,40,60,2,2,2,0,1
1,0,55,3,21,2,2,0,85,50,85,0,85,4,2,2,0,0
0,0,30,3,21,2,2,15,60,15,NA,0,60,4,1,1,0,1
1,0,79,4,16,2,2,0,70,50,85,30,100,1,1,1,0,0
1,0,78,5,6,2,2,15,85,15,85,70,85,NA,1,NA,1,0
1,0,72,7,19,3,2,85,85,100,70,70,70,2,3,2,1,1
1,1,21,3,4,1,0,85,30,NA,50,100,30,4,4,4,1,1
0,0,27,5,20,1,0,40,40,NA,50,50,50,4,2,4,1,1
0,0,61,6,17,2,2,40,85,100,70,40,50,3,4,2,1,1
0,0,51,6,22,2,2,0,70,0,85,0,70,2,1,1,NA,1
1,0,32,6,12,2,1,40,70,50,85,65,60,4,NA,4,0,0
1,0,87,3,10,0,0,60,60,85,60,30,60,4,3,4,1,NA
1,2,37,2,19,1,1,60,60,NA,50,60,0,4,4,4,1,0
1,0,28,2,13,1,1,100,0,70,0,70,50,4,3,4,1,1
1,0,19,4,10,1,1,85,15,85,0,100,15,4,4,4,1,1
0,0,55,5,12,1,NA,70,30,70,15,60,30,4,4,4,1,1
1,0,43,1,13,1,0,85,50,NA,NA,70,50,4,4,4,1,1
0,0,41,4,14,2,2,30,70,40,70,85,70,3,1,2,1,1
0,0,56,3,14,2,0,NA,60,40,75,30,80,4,3,3,0,0
0,2,38,4,21,1,1,70,60,70,50,70,60,4,4,4,1,1
1,0,60,3,NA,2,2,15,85,30,70,40,70,4,2,2,0,0
0,0,78,3,19,2,2,40,100,40,100,50,85,3,1,1,1,1
0,0,57,5,21,2,2,40,85,50,60,50,50,2,2,1,1,1
0,0,54,3,8,1,1,100,15,60,0,60,15,4,4,4,1,1
1,0,30,6,19,1,1,70,60,50,30,50,40,NA,4,4,1,0
1,2,24,4,6,1,0,70,50,50,50,50,50,2,2,2,0,1
0,2,29,5,4,1,1,85,50,50,40,50,50,4,4,4,1,1
0,0,52,6,13,2,1,70,80,80,40,100,10,4,4,4,0,0
0,0,24,5,13,1,1,60,40,50,40,70,50,3,NA,4,1,1
0,0,63,7,21,1,1,85,35,90,30,75,30,4,4,4,1,1
1,1,40,5,9,1,1,40,30,NA,NA,70,50,4,NA,4,1,0
0,2,40,4,14,2,0,0,85,15,15,30,30,1,1,1,1,NA
1,0,53,5,18,2,2,60,60,NA,50,70,50,2,1,2,1,1
1,0,53,4,24,1,1,70,15,60,30,60,15,4,4,2,1,1
1,2,46,5,20,2,0,NA,50,50,50,50,50,2,1,3,1,0
1,0,61,4,NA,NA,0,70,60,NA,15,70,60,4,NA,4,0,NA
0,0,38,6,13,1,1,80,50,75,60,40,40,4,4,4,1,1
0,0,33,6,20,1,1,70,30,60,15,60,15,4,4,4,1,1
1,0,49,6,21,2,2,40,60,60,85,50,60,3,2,2,1,0
0,0,28,5,NA,1,0,85,40,NA,50,85,40,3,NA,4,1,0
1,0,59,7,23,1,1,85,70,70,40,85,60,4,4,1,1,1
0,2,47,3,19,0,1,25,25,30,10,40,5,4,4,4,NA,0
0,0,42,7,21,2,NA,50,70,30,50,40,40,1,2,3,1,1
1,0,26,4,15,1,1,70,40,60,60,70,60,4,4,3,1,1
1,0,45,4,11,1,1,70,40,50,15,60,40,4,4,4,1,NA
1,0,65,2,9,0,2,50,50,NA,60,80,80,3,1,NA,NA,NA
0,0,35,4,17,1,0,60,40,NA,NA,50,50,3,3,4,1,1
1,0,44,3,17,1,NA,85,50,50,70,60,70,3,2,1,1,1
1,0,30,4,NA,0,1,85,50,70,30,70,60,3,NA,4,1,0
